company,level,location,rating,salary_from,salary_to,salary_unit,skill,state,title
READY ARTWORK,entry,"Monrovia, CA 91016",3.0,40000.0,60000.0,year,java,California,Quality Assurance Engineer
VNTANA,entry,"Los Angeles, CA",,110000.0,130000.0,year,python,California,Lead Full Stack Developer
"UCode, Inc",entry,"Ithaca, NY 14850",,15.0,15.0,hour,python,New York,Instructor
Wyzant,entry,"New York, NY 10025 ",4.0,24.0,30.0,hour,python,New York,Tutor or Teacher - Java
Wyzant,entry,"Chicago, IL 60641 ",4.0,24.0,30.0,hour,python,Illinois,Python Tutoring/Teaching
SDH Systems,entry,"Dublin, OH 43017",,84219.0,84219.0,year,python,Ohio,Cloud Engineer
"Kent State University, College of Aeronautics and...",entry,"Kent, OH 44240",,20000.0,24000.0,year,python,Ohio,"One fully funded PHD position, and two masters and two resea..."
Cerkl,entry,"Blue Ash, OH 45242",,65000.0,95000.0,year,python,Ohio,Software Engineer (Full Stack)
Ohio State University Medical Center,entry,"Columbus, OH 43210 ",4.1,47500.0,47500.0,year,python,Ohio,Post Doctoral Researcher
Trilogy Education Services,entry,"Cleveland, OH",4.1,20.0,20.0,hour,python,Ohio,Data Analytics Teaching Assistant
vMOX,entry,"Lancaster, PA",,50000.0,125000.0,year,python,Pennsylvania,Full Stack Ruby on Rails Developer
Delaware Valley Regional Planning Commission,entry,"Philadelphia, PA 19106 ",3.7,50000.0,50000.0,year,python,Pennsylvania,Back End Developer
Oncora Medical,entry,"Philadelphia, PA",,80000.0,110000.0,year,python,Pennsylvania,Software Engineer (Imaging)
Carnegie Mellon University,entry,"Pittsburgh, PA",4.3,19.48,23.0,hour,python,Pennsylvania,"Research Programmer/Systems Administrator, Department of Psy..."
Authentise Inc.,entry,"Philadelphia, PA",,40000.0,100000.0,year,python,Pennsylvania,DevOps Engineer
J2 Solutions,entry,"Dresher, PA 19025",,85000.0,85000.0,year,python,Pennsylvania,QA Automation Developer
Navy Information Warfare Center (NIWC) - Philadelp...,entry,"Philadelphia, PA 19111 ",,65000.0,65000.0,year,python,Pennsylvania,Software Developer - US Citizenship Required - Entry Level
Philadelphia District Attorney's Office,entry,"Philadelphia, PA 19107 ",4.2,60000.0,60000.0,year,python,Pennsylvania,Applications Developer
PCS Globaltech,entry,"Wayne, PA",,70000.0,70000.0,year,python,Pennsylvania,Entry Level Data Analyst
Commonwealth of PA,entry,"Harrisburg, PA 17120",3.7,65937.0,100128.0,year,python,Pennsylvania,Epidemiology Research Associate
"Computer Enterprises, Inc.",entry,"Philadelphia, PA 19103",3.5,80000.0,100000.0,year,python,Pennsylvania,"Software Developer - Java, Python, AWS a plus"
Authentise Inc.,entry,"Philadelphia, PA 19143",,15.0,15.0,hour,python,Pennsylvania,Backend Developer Intern/Coop (immediate start)
J2 Solutions,entry,"Dresher, PA 19025",,120000.0,120000.0,year,python,Pennsylvania,API Developer
Redleaf IT Systems LLC,entry,"King of Prussia, PA",,65000.0,70000.0,year,python,Pennsylvania,Software Engineer
Muncy Industries,entry,"Turbotville, PA",,41600.0,52000.0,year,python,Pennsylvania,Computer Programmer
MongoTEL,entry,"Chicago, IL",,60000.0,120000.0,year,python,Illinois,Senior Network Programming Engineer - Chicago
University of Illinois at Chicago,entry,"Chicago, IL 60612 ",4.2,40000.0,65000.0,year,python,Illinois,Research Associate/Postdoctoral Researcher
Code Platoon,entry,"Chicago, IL 60603 ",,95000.0,110000.0,year,python,Illinois,Web Development Instructor
Synchrony,entry,"Chicago, IL",3.9,52000.0,110000.0,year,python,Illinois,"Senior Analyst, Payment Solutions Analytics - Home"
Trilogy Education Services,entry,"Chicago, IL",4.1,20.0,20.0,hour,python,Illinois,Data Analytics Teaching Assistant
Dataspace,entry,"Chicago, IL",,150000.0,150000.0,year,python,Illinois,022: Data Science Lead - Dynamic Pricing
Leading Edge Worldwide,entry,"Chicago, IL",,90000.0,120000.0,year,python,Illinois,RF Research Engineer SME
Synchrony Bank,entry,"Chicago, IL 60606 ",3.9,70000.0,150000.0,year,python,Illinois,"AVP, Capabilities Analytics"
NCSA/UofI,entry,"Urbana, IL",,18.0,18.0,hour,python,Illinois,Graduate Hourly
Synchrony Bank,entry,"Chicago, IL 60606 ",3.9,52000.0,110000.0,year,python,Illinois,"Senior Analyst, Payment Solutions Analytics - Home"
Synchrony,entry,"Chicago, IL",3.9,52000.0,110000.0,year,python,Illinois,Android Developer - GPShopper
"GPShopper, LLC",entry,"Chicago, IL 60602 ",,52000.0,110000.0,year,python,Illinois,Android Developer - GPShopper
Synchrony,entry,"Chicago, IL",3.9,70000.0,150000.0,year,python,Illinois,"AVP, Capabilities Analytics"
Indigo Recruiter,entry,"Chicago, IL 60654 ",,40000.0,100000.0,year,python,Illinois,Tech Recruiter
DigitCompass,entry,"Time, IL",,90000.0,150000.0,year,python,Illinois,Statistical Programming Analyst
Floracracy,entry,"Rockford, IL",,35.0,75.0,hour,python,Illinois,Python Developer
Klein Consulting,entry,"Chicago, IL 60604 ",,65000.0,80000.0,year,python,Illinois,Entry Level Developer
Options Clearing Corporation,entry,"Chicago, IL",3.7,90000.0,139500.0,year,python,Illinois,Data Scientist
WLBenefits Group,entry,"Bannockburn, IL 60015",,75000.0,80000.0,year,python,Illinois,Data Scientist
Mindex Technologies,entry,"Rochester, NY 14623",,65000.0,90000.0,year,python,New York,QA Automation Engineer
MongoTEL,entry,"Brooklyn, NY",,60000.0,120000.0,year,python,New York,Senior Network Programming Engineer - New York
e² Young Engineers,entry,"New Hyde Park, NY",,20.0,30.0,hour,python,New York,Coding or Robotics Instructor
New York City DEPT OF HEALTH/MENTAL HYGIENE,entry,"Queens, NY 11101",4.0,62272.0,68499.0,year,python,New York,"Data and Technology Analyst, Bureau of Emergency Field Opera..."
TechEra INC,entry,"Holtsville, NY",,50000.0,60000.0,year,python,New York,Automation Test Engineer
Wyzant,entry,"New York, NY 10119 ",4.0,24.0,30.0,hour,python,New York,Python Tutor/Teacher
Empire Genomics,entry,"Buffalo, NY 14221",4.0,13.0,15.0,hour,python,New York,Website Developer - Paid UB Internship Opportunity
Architecture Technology Corporation (ATCorp),entry,"Ithaca, NY",,15.0,20.0,hour,python,New York,Software Engineering Co-Op / Intern
University at Buffalo,entry,"Buffalo, NY 14226",4.3,60000.0,120000.0,year,python,New York,Postdoctoral Associate
Wyzant,entry,"New York, NY 10012 ",4.0,24.0,30.0,hour,python,New York,Tutor or Teacher - Python
New York City DEPT OF HEALTH/MENTAL HYGIENE,entry,"Manhattan, NY",4.0,62272.0,75349.0,year,python,New York,"Laboratory Scientist, Bureau of the Public Health Laboratory..."
Dataquest Corp,entry,"Albany, NY",,75000.0,85000.0,year,python,New York,Entry Level Java Developer
New York City DEPT OF INFO TECH & TELECOMM,entry,"Brooklyn, NY",3.8,96020.0,136000.0,year,python,New York,Network Design Engineer - Scripting
CLS Bank International,entry,"New York, NY",2.8,80.0,85.0,hour,python,New York,Big Data Engineer / Big Data Developer
Health Research Incorporated,entry,"Albany, NY",3.7,57453.0,57453.0,year,python,New York,Research Scientist I
Trilogy Ed,entry,"New York, NY",4.1,20.0,20.0,hour,python,New York,Financial Technology Specialist/Tutor
1974,entry,"Orangeburg, NY",,28.0,30.0,hour,python,New York,Unix Linux Technician
Farmingdale State College,entry,"Farmingdale, NY",4.2,70000.0,70000.0,year,python,New York,Assistant Professor - Security Systems & Law Enforcement Tec...
Nathan S. Kline Institute,entry,"Orangeburg, NY 10962",,40000.0,50000.0,year,python,New York,"Research Support Assistant, level 2 (Center for Biomedical I..."
New York University,entry,"Brooklyn, NY 11206 ",4.3,70000.0,70000.0,year,python,New York,Postdoctoral Associate - Edge ML/AI for Advanced Urban Sensi...
Wyzant,entry,"New York, NY 10025 ",4.0,24.0,30.0,hour,python,New York,Python Tutoring/Teaching
Lovingly,entry,"Fishkill, NY",3.3,20.0,20.0,hour,python,New York,Data Science Engineer - Intern - Spring
Zioqu Inc,entry,"New York, NY",,90000.0,95000.0,year,python,New York,Java Developer
New York City DEPARTMENT OF CITY PLANNING,entry,"Manhattan, NY",4.0,65000.0,75000.0,year,python,New York,Associate Economic Planner
Concorde Education LLC,entry,"New York, NY 10016 ",,15.0,50.0,hour,python,New York,Computer Science & Technology Instructor
PhotoShelter,entry,"Manhattan, NY",5.0,75000.0,100000.0,year,python,New York,Automation Engineer
New York City DEPT OF INFO TECH & TELECOMM,entry,"Manhattan, NY 10007 ",3.8,76500.0,90000.0,year,python,New York,Associate Cloud Reliability Engineer
Research Foundation of The City University of New...,entry,"New York, NY",4.2,63686.0,63686.0,year,python,New York,Post-doctoral Research Associate
Presat,entry,"New York, NY",,85.0,85.0,hour,python,New York,Database Engineer
Third Republic,entry,"New York, NY 10001 ",,100000.0,175000.0,year,python,New York,Cloud Security Engineer
New York City TAXI & LIMOUSINE COMMISSION,entry,"New York, NY 10004 ",2.8,52524.0,62000.0,year,python,New York,Program Data Analyst
Otis Wealth,entry,"New York, NY",,100000.0,120000.0,year,python,New York,Head of Back End Engineering
"KGS Technology Group, Inc",entry,"New York, NY",4.5,50000.0,60000.0,year,python,New York,Fresher/ Entry level/ Junior Full stack web developer
DataCamp,entry,"New York, NY",,150000.0,150000.0,year,python,New York,"Data Science Online Course Instructor (Part-Time, Contract)"
New York City DEPARTMENT OF TRANSPORTATION,entry,"Manhattan, NY",4.1,55416.0,83151.0,year,python,New York,Data Scientist
Third Republic,entry,"Manhattan, NY 10018 ",,175000.0,225000.0,year,python,New York,DevOps Monitoring Expert
New York City MAYORS OFFICE OF CONTRACT SVCS,entry,"Manhattan, NY 10007 ",,80000.0,100000.0,year,python,New York,DevOps Engineer
Byte Academy,entry,"New York, NY 10017 ",,20.0,20.0,hour,python,New York,Data Science Teaching Assistant
New York City TAXI & LIMOUSINE COMMISSION,entry,"New York, NY 10004 ",2.8,48000.0,52524.0,year,python,New York,Policy Analyst- Data
New York City DEPT OF INFO TECH & TELECOMM,entry,"Manhattan, NY",3.8,63031.0,145000.0,year,python,New York,Data Scientist
Third Republic,entry,"New York, NY 10010 ",,160000.0,200000.0,year,python,New York,Infrastructure Engineer
Dow Jones,entry,"New York, NY 10176 ",3.9,900.0,900.0,week,python,New York,Summer 2020 Data Science Internship at The Wall Street Journ...
The Quad Preparatory School,entry,"New York, NY",4.0,60000.0,60000.0,year,python,New York,Computer Science Teacher
The Coder School Long Island,entry,"Roslyn, NY",,20.0,50.0,hour,python,New York,"Python, HTML, Java, JavaScript, Scratch, Swift, C# Tutor"
Dow Jones,entry,"New York, NY 10176 ",3.9,900.0,900.0,week,python,New York,Summer 2020 Data Reporting Internship at The Wall Street Jou...
New York City DEPARTMENT OF CORRECTION,entry,"Queens, NY 11370",3.5,73305.0,84301.0,year,python,New York,Data Analyst
New Visions Central Office,entry,"New York, NY",,18.0,30.0,hour,python,New York,Computer Science & Data Analytics Residency
Penmark Group,entry,"New York, NY",,60000.0,70000.0,year,python,New York,Software Developer
zioqu,entry,"New York, NY 10005 ",,40.0,45.0,hour,python,New York,Python Developer
IBM,entry,"New York, NY 10001 ",3.9,80000.0,120000.0,year,python,New York,Junior Data Scientist - New York City
ACLU,entry,"New York, NY",4.4,20.0,20.0,hour,python,New York,Quantitative Research Analyst (Part-time)
"KGS Technology Group, Inc",entry,"New York, NY",4.5,50000.0,60000.0,year,python,New York,Entry level/ Junior/ Fresher Data Analyst
"KGS Technology Group, Inc",entry,"New York, NY",4.5,50000.0,60000.0,year,python,New York,Entry level / Fresher/ Junior Data Analyst
DataAxxis,entry,"New York, NY",,80.0,85.0,hour,python,New York,Airflow AND Python
untapt,entry,"New York, NY 10018 ",,110000.0,140000.0,year,python,New York,Back End Python Engineer
